날짜,위도,경도
2024-03-04,37.49823385,126.8671048
2024-03-04,37.49543309,126.8875053
2024-09-23,37.49675779,126.8896553
2024-07-18,37.48297678,126.8985862
2024-10-18,37.48889411,126.8436316
2024-08-02,37.50778091,126.8806102
2024-07-12,37.49543309,126.8875053
2024-04-08,37.49543309,126.8875053
2024-09-11,37.50310609,126.8724636
2023-12-11,37.49543309,126.8875053
2024-05-10,37.49543309,126.8875053
2024-10-22,37.4888454,126.8788764
2024-02-20,37.49543309,126.8875053
2024-04-01,37.49543309,126.8875053
2024-08-17,37.49083457,126.8915965
2024-10-08,37.56100479,127.0146627
2024-03-13,37.49543309,126.8875053
2024-05-29,37.48661619,126.8787579
2024-08-19,37.50191099,126.8499198
2024-08-02,37.50024817,126.8750639
2024-03-21,37.5092339,126.8742198
2024-04-08,37.48194428,126.898648
2024-06-03,37.49941471,126.8708414
2024-10-08,37.47842811,126.9875637
2024-05-13,37.49944622,126.8708244
2024-05-23,37.49180398,126.8205374
2024-02-28,37.49543309,126.8875053
2024-06-26,37.50404328,126.8531961
2024-08-12,37.49543309,126.8875053
2024-09-09,37.49675118,126.8559052
2024-09-23,37.48885732,126.8471889
2024-10-29,37.49543309,126.8875053
2024-03-26,37.48685558,126.8386053
2024-08-26,37.50120165,126.8319999
2024-03-08,37.49543309,126.8875053
2024-05-01,37.49952961,126.8688237
2024-09-09,37.49675118,126.8559052
2024-10-07,37.49674308,126.8559109
2024-07-22,37.48625714,126.8874151
2024-09-25,37.50451153,126.8432339
2024-10-15,37.50609228,126.8230332
2024-09-20,37.49543309,126.8875053
2024-09-30,37.49415217,126.8218413
2023-06-27,37.49543309,126.8875053
2024-10-08,37.48721474,126.8900945
2024-11-04,37.49619083,126.8559719
2024-07-12,37.49543309,126.8875053
2024-09-02,37.49832263,126.8659342
2024-07-08,37.49795497,126.8903468
2024-09-24,37.49655892,126.8889647
2024-07-05,37.49652801,126.8322281
2024-09-06,37.49674308,126.855912
2024-08-05,37.48394297,126.8401821
2024-07-18,37.48297678,126.8985862
2024-08-14,37.50706062,126.891417
2024-09-03,37.49543309,126.8875053
2024-08-16,37.49165169,126.8538729
2024-10-15,37.48695988,126.8458631
2024-04-01,37.49543309,126.8875053
2024-10-25,37.49523208,126.8888485
2024-09-19,37.49543309,126.8875053
2024-10-15,37.50516842,126.8523005
2024-09-23,37.4928353,126.8209172
2024-10-21,37.49934698,126.8707058
2024-03-25,37.49543309,126.8875053
2024-09-20,37.48956013,126.8863608
2024-10-18,37.48449802,126.8402069
2024-10-11,37.48686415,126.8861839
2024-09-02,37.49832263,126.8659342
2024-03-13,37.49543309,126.8875053
2024-10-25,37.49372483,126.8574964
2024-01-31,37.49543309,126.8875053
2024-08-28,37.50026551,126.8511464
2024-04-16,37.49543309,126.8875053
2024-11-01,37.49372483,126.8574964
2024-10-18,37.50210431,126.8347658
2024-03-13,37.49543309,126.8875053
2024-09-30,37.49415217,126.8218413
2024-10-15,37.49543309,126.8875053
2024-09-05,37.49177606,126.8551428
2024-03-04,37.49543309,126.8875053
2024-10-01,37.50658241,126.8532737
2024-10-01,37.49524786,126.8888598
2024-01-29,37.49543309,126.8875053
2024-06-05,37.49543309,126.8875053
2024-08-29,37.49543309,126.8875053
2024-10-29,37.49433234,126.8610216
2024-01-19,37.48625714,126.8874151
2024-07-19,37.49961783,126.8720352
2024-08-08,37.49712534,126.8895926
2024-08-06,37.49083457,126.8915965
2024-09-28,37.49543309,126.8875053
2024-08-26,37.48885732,126.8471889
2024-10-16,37.49652801,126.8322281
2024-10-14,37.49727232,126.8926457
2024-05-13,37.48797198,126.8803014
2024-10-02,37.49543309,126.8875053
2024-10-30,37.49372483,126.8574964
2024-02-06,37.49543309,126.8875053
2024-10-29,37.49543309,126.8875053
2024-08-07,37.48547309,126.8202676
2024-02-29,37.49543309,126.8875053
2024-03-27,37.48661619,126.8787579
2024-07-18,37.50658241,126.8532737
2024-10-30,37.48004627,126.8363532
2024-08-26,37.50516842,126.8523005
2024-09-02,37.50814042,126.8908748
2024-02-29,37.49543309,126.8875053
2024-09-02,37.49832263,126.8659342
2024-08-21,37.49712534,126.8895926
2024-02-29,37.49543309,126.8875053
2024-10-22,37.48263896,126.8253668
2024-09-09,37.49823385,126.8671048
2024-08-20,37.49543309,126.8875053
2024-10-30,37.49675779,126.8896553
2024-07-29,37.51211807,126.8777055
2024-08-07,37.50673603,126.8773772
2024-10-01,37.49543309,126.8875053
2024-06-01,37.4882989,126.8559554
2024-06-25,37.50168142,126.839105
2024-02-29,37.49543309,126.8875053
2024-05-03,37.49543309,126.8875053
2024-02-29,37.49543309,126.8875053
2024-09-19,37.50658241,126.8532737
2024-10-08,37.50277945,126.8375747
2024-10-17,37.50962981,126.8918815
2016-04-14,37.50120578,126.8466254
2023-12-14,37.5390231,126.8832624
2016-04-25,37.50166497,126.8463757
2024-05-07,37.49492879,126.8946359
